菜名,价格,食堂,楼层,窗口,时间
牛肉面,12,第二食堂,二楼,1,bc
鸭肉拉面,8,第二食堂,二楼,1,bc
麻酱面,10,第二食堂,二楼,1,bc
饸饹面,12,第二食堂,二楼,1,bc
油泼面,10,第二食堂,二楼,1,bc
牛肉饺子,15,第二食堂,二楼,1,bc
羊肉饺子,18,第二食堂,二楼,1,bc
羊肉烩面,16,第二食堂,二楼,1,bc
烤鸭饭,13.8,第二食堂,二楼,3,bc
鸡趴饭,12.8,第二食堂,二楼,3,bc
广式腊肠饭,14.8,第二食堂,二楼,3,bc
白切鸡饭,12.8,第二食堂,二楼,3,bc
鸭腿饭,11.8,第二食堂,二楼,3,bc
蜜汁叉烧饭,13.8,第二食堂,二楼,3,bc
奥尔良烤鸡饭,12.8,第二食堂,二楼,3,bc
口水鸡饭,13.8,第二食堂,二楼,3,bc
隆江猪脚饭,15.8,第二食堂,二楼,3,bc
韩式土豆煎蛋饭,10.8,第二食堂,二楼,4,bc
外婆菜炒蛋饭,11.8,第二食堂,二楼,4,bc
香酥鸡柳饭,12.8,第二食堂,二楼,4,bc
碳烤鸭腿饭,12.8,第二食堂,二楼,4,bc
奥尔良鸡腿饭,13.8,第二食堂,二楼,4,bc
烤肉鸡柳双拼饭,14,第二食堂,二楼,4,bc
糖醋小酥肉饭,13.8,第二食堂,二楼,4,bc
川香炒鸡饭,13.8,第二食堂,二楼,4,bc
韩式鸡块饭,13.8,第二食堂,二楼,4,bc
湖南小炒肉,13.8,第二食堂,二楼,4,bc
蜜汁烤肉饭,14,第二食堂,二楼,4,bc
卤香猪脚饭,15.8,第二食堂,二楼,4,bc
牛杂刀削面,13,第二食堂,二楼,5,bc
羊杂刀削面,13,第二食堂,二楼,5,bc
酸菜肉丝面,11,第二食堂,二楼,5,bc
牛油油泼面,13,第二食堂,二楼,5,bc
鸡块麻酱拌面,12,第二食堂,二楼,5,bc
排骨麻酱拌面,12,第二食堂,二楼,5,bc
麻酱拌面,10,第二食堂,二楼,5,bc
牛肉麻酱拌面,13,第二食堂,二楼,5,bc
鸡块油泼面,12,第二食堂,二楼,5,bc
蛋炒饼,12,第二食堂,二楼,5,bc
肉炒饼,12,第二食堂,二楼,5,bc
肥羊炒饼,14,第二食堂,二楼,5,bc
肥牛炒饼,14,第二食堂,二楼,5,bc
牛肉炒饼,14,第二食堂,二楼,5,bc
鱼香肉丝炒面,13,第二食堂,二楼,5,bc
孜然鸡蛋炒面,12,第二食堂,二楼,5,bc
孜然鸡肉炒面,12,第二食堂,二楼,5,bc
尖椒肉丝炒面,13,第二食堂,二楼,5,bc
蛋炒面,12,第二食堂,二楼,5,bc
肉炒面,12,第二食堂,二楼,5,bc
牛肉炒面,14,第二食堂,二楼,5,bc
肥牛炒面,14,第二食堂,二楼,5,bc
砂锅面/粉,10,第二食堂,二楼,5,bc
